,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],2.321287473496673,2.321287473496673,2.321287473496673,2.321287473496673,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
1,2016Q2,"[0.25, 0.22, 0.17, 0.22, 0.13, 0.01]","[0.01, 0.26, 0.29, 0.12, 0.0, 0.31]","[0.25, 0.2, 0.19, 0.16, 0.17, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.050477766555052,1.0007178875069633,2.0182048949178957,1.0447523786957085,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
2,2016Q3,"[0.22, 0.21, 0.19, 0.23, 0.13, 0.01]","[0.04, 0.02, 0.55, 0.01, 0.02, 0.35]","[0.22, 0.21, 0.19, 0.23, 0.13, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.028894304546102,1.0040148439016074,2.028894304546102,1.2179675131922725,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
3,2016Q4,"[0.2, 0.21, 0.19, 0.23, 0.16, 0.0]","[0.04, 0.5, 0.03, 0.04, 0.28, 0.11]","[0.26, 0.23, 0.23, 0.08, 0.18, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.4257370195802492,1.1475688410253744,2.0613492970709344,1.2767038899530418,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
4,2017Q1,"[0.17, 0.25, 0.22, 0.22, 0.14, 0.0]","[0.05, 0.01, 0.11, 0.71, 0.05, 0.07]","[0.25, 0.26, 0.0, 0.28, 0.17, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.409325748319581,1.449349190780278,2.0025890415792627,1.0286366789440575,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
5,2017Q2,"[0.17, 0.22, 0.3, 0.16, 0.15, 0.0]","[0.01, 0.12, 0.44, 0.14, 0.21, 0.08]","[0.02, 0.13, 0.39, 0.2, 0.18, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.622597940346718,1.9531229788759021,2.176107877987336,1.000442803735338,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
6,2017Q3,"[0.15, 0.24, 0.26, 0.18, 0.15, 0.02]","[0.02, 0.13, 0.05, 0.1, 0.04, 0.68]","[0.0, 0.15, 0.3, 0.31, 0.2, 0.05]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.142679059791474,1.0000008082686986,2.0439649242757993,1.001459067057953,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
7,2017Q4,"[0.24, 0.28, 0.23, 0.07, 0.16, 0.02]","[0.06, 0.32, 0.39, 0.19, 0.0, 0.04]","[0.01, 0.27, 0.31, 0.34, 0.02, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.012824111033292,1.8987846910713393,2.2321489201549043,1.000814324885797,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
8,2018Q1,"[0.24, 0.22, 0.22, 0.15, 0.17, 0.01]","[0.02, 0.04, 0.18, 0.09, 0.05, 0.62]","[0.08, 0.44, 0.31, 0.0, 0.14, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.119870862583916,1.0000008639478795,2.2126978090848803,1.0005329427414722,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
9,2018Q2,"[0.26, 0.27, 0.17, 0.26, 0.04, 0.02]","[0.01, 0.03, 0.34, 0.01, 0.04, 0.57]","[0.01, 0.09, 0.35, 0.44, 0.07, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.065373302539932,1.000016558727662,2.1226935408750682,1.0032650550867621,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
