,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
10,2018Q3,"[0.25, 0.19, 0.17, 0.27, 0.1, 0.02]","[0.06, 0.07, 0.59, 0.22, 0.01, 0.05]","[0.05, 0.09, 0.4, 0.38, 0.04, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.106080480746722,1.383127981272564,2.0128038886370723,1.0006681282363203,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
11,2018Q4,"[0.25, 0.24, 0.15, 0.24, 0.09, 0.02]","[0.03, 0.02, 0.43, 0.05, 0.11, 0.37]","[0.3, 0.0, 0.33, 0.25, 0.07, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.118300673358802,1.000740364897811,2.026591114443059,1.1027698869259237,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
12,2019Q1,"[0.04, 0.26, 0.19, 0.29, 0.18, 0.04]","[0.13, 0.03, 0.74, 0.06, 0.01, 0.03]","[0.02, 0.11, 0.32, 0.32, 0.17, 0.06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.1624417431814607,1.0040881727636255,2.024331049436976,1.2512726545524964,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
13,2019Q2,"[0.04, 0.31, 0.21, 0.33, 0.06, 0.05]","[0.02, 0.0, 0.51, 0.01, 0.32, 0.13]","[0.02, 0.0, 0.51, 0.01, 0.32, 0.13]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9863498204261365,1.9230739736158222,1.9230739736158222,1.0015402815157501,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
14,2019Q3,"[0.04, 0.31, 0.17, 0.3, 0.14, 0.04]","[0.05, 0.07, 0.56, 0.04, 0.03, 0.24]","[0.05, 0.04, 0.36, 0.42, 0.05, 0.08]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.0358720313566843,1.0962207551924679,2.0342720570599395,1.143158537086134,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
15,2019Q4,"[0.1, 0.04, 0.1, 0.38, 0.29, 0.09]","[0.08, 0.3, 0.27, 0.33, 0.01, 0.0]","[0.02, 0.15, 0.34, 0.37, 0.02, 0.1]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.084058690826536,1.2463179047316642,2.0117083084660834,1.1321061921347142,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
16,2020Q1,"[0.14, 0.32, 0.05, 0.25, 0.2, 0.05]","[0.0, 0.51, 0.1, 0.33, 0.04, 0.01]","[0.06, 0.28, 0.2, 0.27, 0.15, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.3102720172494506,1.2311157644399193,2.1459514177934342,1.1874464079797882,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
17,2020Q2,"[0.03, 0.21, 0.2, 0.23, 0.23, 0.1]","[0.08, 0.01, 0.54, 0.01, 0.05, 0.31]","[0.2, 0.13, 0.23, 0.09, 0.24, 0.1]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.1868371464808636,1.2297230775577526,2.0270013440643315,1.3541817738202608,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
18,2020Q3,"[0.11, 0.12, 0.18, 0.19, 0.26, 0.14]","[0.07, 0.02, 0.64, 0.03, 0.23, 0.01]","[0.07, 0.14, 0.22, 0.2, 0.23, 0.13]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5486346283959778,1.0010731260950516,2.010588594099636,1.0043006747069683,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
19,2020Q4,"[0.04, 0.25, 0.17, 0.18, 0.26, 0.1]","[0.05, 0.04, 0.66, 0.03, 0.19, 0.02]","[0.22, 0.12, 0.24, 0.05, 0.27, 0.11]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.311803956588769,1.0006230568102255,2.0000761349150924,1.1293656606931464,"['XTN', 'FEMS', 'ARKW', 'IAT', 'BBP', 'DOGE-USD']"
