,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,"[0.27, 0.11, 0.3, 0.25, 0.02, 0.05]","[0.03, 0.01, 0.04, 0.0, 0.36, 0.56]","[0.64, 0.05, 0.09, 0.09, 0.04, 0.1]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.395031891672161,1.2510050030286295,2.1251208088438047,2.0397798717850875,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
1,2016Q2,"[0.06, 0.48, 0.12, 0.22, 0.03, 0.09]","[0.06, 0.07, 0.02, 0.0, 0.66, 0.19]","[0.51, 0.17, 0.06, 0.05, 0.06, 0.15]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.2638150110112316,1.0002951269897324,2.0258299591275226,1.0058919418474899,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
2,2016Q3,"[0.08, 0.19, 0.17, 0.38, 0.04, 0.14]","[0.06, 0.07, 0.01, 0.01, 0.37, 0.48]","[0.12, 0.05, 0.62, 0.01, 0.05, 0.15]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.362413687638681,1.0610518851625046,2.178778063211632,1.1022196086820295,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
3,2016Q4,"[0.34, 0.02, 0.13, 0.35, 0.04, 0.12]","[0.15, 0.03, 0.08, 0.05, 0.13, 0.55]","[0.0, 0.05, 0.23, 0.48, 0.05, 0.19]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.391945877525056,1.3118936445247082,2.0247706192180632,1.0672225300655516,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
4,2017Q1,"[0.11, 0.33, 0.06, 0.33, 0.04, 0.13]","[0.42, 0.01, 0.09, 0.03, 0.09, 0.36]","[0.51, 0.03, 0.01, 0.18, 0.06, 0.21]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.4555563814074426,1.5479711627686576,2.0527283038641406,1.0775982919432487,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
5,2017Q2,"[0.06, 0.37, 0.35, 0.18, 0.02, 0.03]","[0.13, 0.08, 0.02, 0.2, 0.0, 0.57]","[0.02, 0.29, 0.43, 0.23, 0.0, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.374899088234741,1.0000201307022651,2.086292430475243,1.0001085701894943,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
6,2017Q3,"[0.23, 0.18, 0.37, 0.2, 0.0, 0.03]","[0.02, 0.01, 0.03, 0.04, 0.52, 0.38]","[0.46, 0.02, 0.39, 0.01, 0.03, 0.09]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.7718081231760383,1.0069684422475373,2.0104589517540803,1.0249181652528567,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
7,2017Q4,"[0.2, 0.24, 0.28, 0.24, 0.01, 0.03]","[0.06, 0.05, 0.0, 0.05, 0.63, 0.2]","[0.14, 0.04, 0.49, 0.24, 0.02, 0.06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.7587833202072902,1.0002470927799156,2.228693417924789,1.0000571430346068,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
8,2018Q1,"[0.31, 0.17, 0.31, 0.18, 0.0, 0.03]","[0.03, 0.01, 0.05, 0.04, 0.38, 0.49]","[0.11, 0.2, 0.43, 0.2, 0.01, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.6706401111792313,1.006909932054311,2.0097169454868142,1.0586606064454815,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
9,2018Q2,"[0.27, 0.21, 0.24, 0.25, 0.0, 0.03]","[0.04, 0.02, 0.02, 0.05, 0.69, 0.18]","[0.34, 0.01, 0.48, 0.09, 0.01, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.881943690172635,1.0000017889903456,2.0908766543342416,1.0752660270749983,"['KRE', 'IAK', 'ARKW', 'BBP', 'XVG-USD', 'DASH-USD']"
