,Time,Equal Weights,Max PDI Weights,Max Sharpe Ratio Weights,Equal Weights Cummulative,Max PDI Weights Cummulative,Max Sharpe Ratio Weights Cummulative
0,2016-01-06,-0.04942911578098462,-0.04942911578098462,-0.04942911578098462,-0.04942911578098462,-0.04942911578098462,-0.04942911578098462
1,2016-01-13,-0.07861350191305758,-0.07861350191305758,-0.07861350191305758,-0.12804261769404218,-0.12804261769404218,-0.12804261769404218
2,2016-01-20,-0.02494009160822223,-0.02494009160822223,-0.02494009160822223,-0.1529827093022644,-0.1529827093022644,-0.1529827093022644
3,2016-01-27,0.001722234852273151,0.001722234852273151,0.001722234852273151,-0.15126047444999124,-0.15126047444999124,-0.15126047444999124
4,2016-02-03,0.002946929198966484,0.002946929198966484,0.002946929198966484,-0.14831354525102475,-0.14831354525102475,-0.14831354525102475
5,2016-02-10,-0.045250114074815294,-0.045250114074815294,-0.045250114074815294,-0.19356365932584005,-0.19356365932584005,-0.19356365932584005
6,2016-02-17,0.06207560231723984,0.06207560231723984,0.06207560231723984,-0.13148805700860022,-0.13148805700860022,-0.13148805700860022
7,2016-02-24,-0.005062152868058516,-0.005062152868058516,-0.005062152868058516,-0.13655020987665875,-0.13655020987665875,-0.13655020987665875
8,2016-03-02,0.05242825289146452,0.05242825289146452,0.05242825289146452,-0.08412195698519423,-0.08412195698519423,-0.08412195698519423
9,2016-03-09,0.0034506821874203003,0.0034506821874203003,0.0034506821874203003,-0.08067127479777393,-0.08067127479777393,-0.08067127479777393
10,2016-03-16,0.0013423716746385841,0.0013423716746385841,0.0013423716746385841,-0.07932890312313534,-0.07932890312313534,-0.07932890312313534
11,2016-03-23,0.014131546886372215,0.014131546886372215,0.014131546886372215,-0.06519735623676312,-0.06519735623676312,-0.06519735623676312
12,2016-03-30,0.019926705148252767,0.019926705148252767,0.019926705148252767,-0.045270651088510354,-0.045270651088510354,-0.045270651088510354
13,2016-04-06,0.009947454187846835,0.0009306028306855518,0.0027910150421506723,-0.03532319690066352,-0.0443400482578248,-0.04247963604635968
14,2016-04-13,0.02248813346777167,0.024575192040528937,0.009622605921071708,-0.012835063432891848,-0.019764856217295866,-0.03285703012528797
15,2016-04-20,0.013273531564638067,0.015735854295352323,0.014736432840840506,0.000438468131746219,-0.004029001921943543,-0.018120597284447464
16,2016-04-27,-0.0023290774862387334,-0.0021723785288221805,-0.002276176576059109,-0.0018906093544925145,-0.006201380450765724,-0.020396773860506572
17,2016-05-04,-0.04815555611963427,-0.04655889763406992,-0.02998245723438561,-0.05004616547412678,-0.052760278084835646,-0.05037923109489218
18,2016-05-11,0.011276332723698402,0.010469039759975362,0.012120320194802161,-0.03876983275042838,-0.042291238324860286,-0.038258910900090023
19,2016-05-18,-0.0010532873684377334,-0.0019421883203235438,0.005293034428261455,-0.039823120118866115,-0.04423342664518383,-0.03296587647182857
20,2016-05-25,0.03496217849562614,0.03207867335580976,0.028992934573663094,-0.004860941623239974,-0.01215475328937407,-0.003972941898165473
21,2016-06-01,0.014570733085063002,0.012637990622372922,0.017040185113110763,0.009709791461823028,0.00048323733299885166,0.01306724321494529
22,2016-06-08,0.017204695608034302,0.01769407256564671,0.014256672944881685,0.02691448706985733,0.018177309898645563,0.027323916159826975
23,2016-06-15,-0.03279179244075802,-0.03428513170166894,-0.015451151287578395,-0.0058773053709006914,-0.01610782180302338,0.01187276487224858
24,2016-06-22,0.0023619311935662497,0.003684112027183708,-0.0019310772257559198,-0.0035153741773344418,-0.01242370977583967,0.00994168764649266
25,2016-06-29,-0.009787082083617752,-0.013280912378534798,-0.010986260484856656,-0.013302456260952195,-0.025704622154374468,-0.0010445728383639968
26,2016-07-06,0.011357131291886435,0.009377677319761826,0.00953339360854427,-0.00194532496906576,-0.016326944834612642,0.008488820770180273
27,2016-07-13,0.04493502097677043,0.04736402702910566,0.045406400638581784,0.042989696007704664,0.031037082194493016,0.05389522140876206
28,2016-07-20,0.013367990032326551,0.01161312978648232,0.010509041204575648,0.05635768604003122,0.042650211980975336,0.0644042626133377
29,2016-07-27,0.014280319486467368,0.012727977990677838,0.007596434813592156,0.07063800552649858,0.055378189971653176,0.07200069742692985
30,2016-08-03,0.0030917828461979498,0.001722071491619045,0.0053251474066244335,0.07372978837269653,0.05710026146327222,0.07732584483355429
31,2016-08-10,0.008740341072921733,0.01012406531503619,0.013984720565018122,0.08247012944561827,0.0672243267783084,0.09131056539857241
32,2016-08-17,0.004188705666640551,0.004455800518285987,0.001389503334494583,0.08665883511225882,0.0716801272965944,0.09270006873306699
33,2016-08-24,0.0013903109406780997,0.0015625579424978233,0.0010406240484352566,0.08804914605293691,0.07324268523909222,0.09374069278150225
34,2016-08-31,0.0033102542904357843,0.0035046024920740975,3.0352985662318024e-05,0.0913594003433727,0.07674728773116632,0.09377104576716457
35,2016-09-07,0.022001057431049603,0.021562368824820426,0.021355144950888888,0.1133604577744223,0.09830965655598675,0.11512619071805345
36,2016-09-14,-0.0243087859923208,-0.026338972128268367,-0.03481842928182302,0.0890516717821015,0.07197068442771838,0.08030776143623043
37,2016-09-21,0.03166928397512469,0.02945106751132589,0.030107768896221007,0.12072095575722619,0.10142175193904426,0.11041553033245144
38,2016-09-28,0.0069416023735883675,0.007913532201387253,0.019635927651700972,0.12766255813081456,0.10933528414043152,0.1300514579841524
39,2016-10-05,0.004303356226380484,0.0060232872403059926,-0.0034258008648983466,0.13196591435719504,0.11535857138073752,0.12662565711925405
