,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],2.1188333292918657,2.1188333292918657,2.1188333292918657,2.1188333292918657,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
1,2016Q2,"[0.25, 0.25, 0.22, 0.26, 0.0, 0.03]","[0.06, 0.02, 0.05, 0.01, 0.62, 0.23]","[0.27, 0.21, 0.27, 0.12, 0.1, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.0052155302947727,1.002167217674204,2.0010310043532287,1.025717966535105,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
2,2016Q3,"[0.0, 0.36, 0.4, 0.04, 0.14, 0.05]","[0.0, 0.01, 0.19, 0.01, 0.64, 0.14]","[0.0, 0.01, 0.19, 0.01, 0.64, 0.14]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9567447359300454,1.0313569473494617,1.0313569473494617,1.144987150352816,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
3,2016Q4,"[0.37, 0.38, 0.06, 0.09, 0.06, 0.04]","[0.02, 0.01, 0.51, 0.22, 0.18, 0.06]","[0.32, 0.31, 0.04, 0.09, 0.21, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.0376437916587724,1.7032982891644206,2.0172353685368516,2.1927482476127187,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
4,2017Q1,"[0.16, 0.22, 0.16, 0.24, 0.21, 0.01]","[0.22, 0.0, 0.32, 0.06, 0.35, 0.05]","[0.16, 0.2, 0.14, 0.25, 0.25, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.0990876450857816,1.5252644933599164,2.076744192114544,1.0180557450982612,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
5,2017Q2,"[0.05, 0.2, 0.17, 0.25, 0.31, 0.02]","[0.0, 0.05, 0.24, 0.15, 0.46, 0.09]","[0.0, 0.03, 0.22, 0.33, 0.35, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.808890056441098,1.6507537555142084,2.1191943255423693,1.000145487818782,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
6,2017Q3,"[0.13, 0.19, 0.21, 0.26, 0.19, 0.02]","[0.04, 0.01, 0.07, 0.07, 0.12, 0.68]","[0.02, 0.01, 0.22, 0.38, 0.33, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.1932212002991225,1.0000001190777628,2.0278146279813507,1.0008053470828986,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
7,2017Q4,"[0.01, 0.19, 0.21, 0.32, 0.26, 0.01]","[0.0, 0.01, 0.12, 0.39, 0.42, 0.05]","[0.05, 0.08, 0.05, 0.42, 0.37, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.2922006165327034,1.3278432661149084,2.0672890874780827,1.000604516063956,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
8,2018Q1,"[0.14, 0.19, 0.16, 0.26, 0.25, 0.01]","[0.05, 0.02, 0.05, 0.03, 0.13, 0.73]","[0.02, 0.13, 0.11, 0.44, 0.29, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.133498610428177,1.0000000190309963,2.096288687493532,1.0004740576502003,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
9,2018Q2,"[0.19, 0.19, 0.11, 0.25, 0.26, 0.01]","[0.12, 0.02, 0.01, 0.11, 0.02, 0.72]","[0.43, 0.02, 0.0, 0.44, 0.08, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.074122407912472,1.0000000460554581,2.1162888331276353,1.0010639172834646,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
10,2018Q3,"[0.23, 0.08, 0.14, 0.29, 0.24, 0.02]","[0.56, 0.08, 0.21, 0.01, 0.09, 0.05]","[0.43, 0.01, 0.22, 0.06, 0.23, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.6929468172276194,1.9463800810767324,2.0947632801251403,1.0002010223321562,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
11,2018Q4,"[0.2, 0.17, 0.11, 0.23, 0.28, 0.01]","[0.1, 0.33, 0.02, 0.01, 0.03, 0.51]","[0.08, 0.39, 0.4, 0.03, 0.06, 0.05]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5465991328366333,1.0000115185398282,2.0160305101060865,1.0359863262140787,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
12,2019Q1,"[0.02, 0.07, 0.0, 0.43, 0.43, 0.05]","[0.01, 0.62, 0.26, 0.0, 0.05, 0.06]","[0.04, 0.05, 0.32, 0.04, 0.49, 0.06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.030316079242149,1.5065036707871515,2.0052196593933385,1.2795512366146888,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
13,2019Q2,"[0.08, 0.08, 0.57, 0.04, 0.11, 0.11]","[0.02, 0.29, 0.54, 0.02, 0.01, 0.11]","[0.02, 0.29, 0.54, 0.02, 0.01, 0.11]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9463733049551362,1.8844925961919672,1.8844925961919672,1.0013560194089441,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
14,2019Q3,"[0.13, 0.18, 0.58, 0.0, 0.01, 0.11]","[0.03, 0.05, 0.18, 0.01, 0.63, 0.1]","[0.03, 0.05, 0.18, 0.01, 0.63, 0.1]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9891511854400012,1.3231669358039126,1.3231669358039126,1.1063009187543407,"['XTN', 'PJP', 'XSD', 'EWX', 'KIE', 'DOGE-USD']"
