,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,"[0.41, 0.0, 0.08, 0.33, 0.15, 0.02]","[0.29, 0.34, 0.01, 0.0, 0.03, 0.33]","[0.42, 0.01, 0.01, 0.27, 0.26, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.167289959704101,1.0000156472837762,2.0463970608642827,1.6527354325573231,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
1,2016Q2,"[0.51, 0.01, 0.03, 0.22, 0.18, 0.04]","[0.1, 0.04, 0.18, 0.04, 0.02, 0.62]","[0.1, 0.04, 0.18, 0.04, 0.02, 0.62]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.7187272383943615,1.0000003454612272,1.0000003454612272,1.000108048103502,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
2,2016Q3,"[0.36, 0.16, 0.02, 0.36, 0.06, 0.03]","[0.02, 0.03, 0.19, 0.0, 0.4, 0.37]","[0.02, 0.03, 0.19, 0.0, 0.4, 0.37]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8265654422983038,1.0000205488886422,1.0000205488886422,1.000784355614126,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
3,2016Q4,"[0.02, 0.04, 0.23, 0.29, 0.4, 0.02]","[0.55, 0.27, 0.06, 0.01, 0.04, 0.08]","[0.55, 0.27, 0.06, 0.01, 0.04, 0.08]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.82020620503532,1.14784820441804,1.14784820441804,1.00150280720408,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
4,2017Q1,"[0.02, 0.08, 0.0, 0.39, 0.48, 0.03]","[0.29, 0.02, 0.18, 0.01, 0.44, 0.06]","[0.29, 0.02, 0.18, 0.01, 0.44, 0.06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8062016464889816,1.07845228231845,1.07845228231845,1.0000433788712582,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
5,2017Q2,"[0.22, 0.03, 0.12, 0.3, 0.32, 0.02]","[0.29, 0.21, 0.0, 0.04, 0.43, 0.02]","[0.22, 0.11, 0.09, 0.23, 0.33, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.3863538139000453,1.5804096694177687,2.0952651198504775,1.000000323947206,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
6,2017Q3,"[0.3, 0.04, 0.35, 0.29, 0.01, 0.01]","[0.03, 0.08, 0.06, 0.12, 0.02, 0.7]","[0.26, 0.37, 0.01, 0.01, 0.34, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5860444167534546,1.000000001642456,2.120347370688577,1.0000139555425283,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
7,2017Q4,"[0.34, 0.0, 0.21, 0.33, 0.11, 0.01]","[0.05, 0.02, 0.05, 0.03, 0.13, 0.73]","[0.27, 0.34, 0.03, 0.0, 0.35, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5613693316871227,1.0000000003296696,2.0281714581260455,1.000000063244455,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
8,2018Q1,"[0.22, 0.05, 0.04, 0.26, 0.42, 0.0]","[0.12, 0.02, 0.01, 0.11, 0.02, 0.72]","[0.15, 0.25, 0.14, 0.16, 0.31, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.561122480669149,1.0000000002198646,2.272175292670717,1.0012512133025835,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
9,2018Q2,"[0.13, 0.15, 0.27, 0.2, 0.25, 0.0]","[0.11, 0.11, 0.01, 0.03, 0.04, 0.7]","[0.07, 0.25, 0.2, 0.2, 0.28, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.2486786586485246,1.0000000002703735,2.0706778827512027,1.0004291590297223,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
10,2018Q3,"[0.12, 0.17, 0.17, 0.22, 0.32, 0.0]","[0.01, 0.5, 0.24, 0.12, 0.13, 0.01]","[0.12, 0.17, 0.17, 0.22, 0.32, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.1594555905110195,1.5306278797090607,2.1594555905110195,1.0060305355507966,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
11,2018Q4,"[0.39, 0.13, 0.07, 0.08, 0.32, 0.01]","[0.01, 0.62, 0.13, 0.01, 0.21, 0.01]","[0.01, 0.62, 0.13, 0.01, 0.21, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9748471165780859,1.6200510731462252,1.6200510731462252,1.0260865161815227,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
12,2019Q1,"[0.01, 0.3, 0.09, 0.13, 0.42, 0.05]","[0.22, 0.51, 0.02, 0.13, 0.11, 0.0]","[0.22, 0.51, 0.02, 0.13, 0.11, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9111793730664655,1.011365687423293,1.011365687423293,1.0269328186328983,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
13,2019Q2,"[0.04, 0.51, 0.04, 0.06, 0.25, 0.1]","[0.12, 0.62, 0.01, 0.1, 0.13, 0.01]","[0.12, 0.62, 0.01, 0.1, 0.13, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8961838993942863,1.0013071877891657,1.0013071877891657,1.0015355560007388,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
14,2019Q3,"[0.07, 0.28, 0.0, 0.03, 0.53, 0.08]","[0.08, 0.52, 0.0, 0.0, 0.37, 0.02]","[0.08, 0.52, 0.0, 0.0, 0.37, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.984417670076395,1.045379694999426,1.045379694999426,1.0110891400646351,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
15,2019Q4,"[0.09, 0.37, 0.06, 0.0, 0.39, 0.08]","[0.42, 0.02, 0.06, 0.01, 0.49, 0.0]","[0.42, 0.02, 0.06, 0.01, 0.49, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9334204646804931,1.0791120035870185,1.0791120035870185,1.0273039906145165,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
16,2020Q1,"[0.21, 0.03, 0.08, 0.29, 0.34, 0.05]","[0.34, 0.31, 0.02, 0.01, 0.31, 0.01]","[0.15, 0.23, 0.03, 0.2, 0.36, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.1275670583113766,1.1458416784865162,2.0549643666525017,1.0355849233165246,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
17,2020Q2,"[0.13, 0.22, 0.07, 0.31, 0.2, 0.07]","[0.59, 0.2, 0.02, 0.01, 0.16, 0.01]","[0.24, 0.14, 0.15, 0.18, 0.21, 0.08]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.1825788990497563,1.001985566908933,2.012132150609109,1.0528003993588362,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
18,2020Q3,"[0.18, 0.13, 0.07, 0.34, 0.19, 0.08]","[0.49, 0.01, 0.02, 0.41, 0.01, 0.06]","[0.13, 0.19, 0.15, 0.38, 0.07, 0.08]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.163917967650105,1.0481080075847702,2.148867989442399,1.0348594421910273,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
19,2020Q4,"[0.1, 0.25, 0.07, 0.32, 0.17, 0.09]","[0.33, 0.2, 0.0, 0.29, 0.01, 0.16]","[0.22, 0.21, 0.1, 0.36, 0.02, 0.1]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.139449336309574,1.5785133639641584,2.0088197149087437,1.0012150037413163,"['XSD', 'XSW', 'SPMD', 'PJP', 'KIE', 'XVG-USD']"
