,Time,Equal Weights,Max PDI Weights,Max Sharpe Ratio Weights,Equal Weights Cummulative,Max PDI Weights Cummulative,Max Sharpe Ratio Weights Cummulative
0,2016-01-06,-0.049449497053655984,-0.049164780754354924,-0.05629097992121319,-0.049449497053655984,-0.049164780754354924,-0.05629097992121319
1,2016-01-13,-0.06612625906636889,-0.06398370322511976,-0.06020972131375504,-0.11557575612002488,-0.11314848397947469,-0.11650070123496822
2,2016-01-20,-0.007856061695444132,-0.01047982269799298,-0.0153728217173901,-0.12343181781546901,-0.12362830667746767,-0.13187352295235832
3,2016-01-27,0.002708107015801616,0.0037035778266335294,0.004769494124989662,-0.1207237107996674,-0.11992472885083415,-0.12710402882736865
4,2016-02-03,-6.411499274099064e-06,0.0017690768977433877,0.005942920950571648,-0.1207301222989415,-0.11815565195309076,-0.121161107876797
5,2016-02-10,-0.043234555523545846,-0.04277746459960347,-0.057722606333303964,-0.16396467782248736,-0.16093311655269424,-0.17888371421010096
6,2016-02-17,0.04800328241098823,0.04736178054867414,0.0569614542767021,-0.11596139541149914,-0.1135713360040201,-0.12192225993339886
7,2016-02-24,0.006565533127349216,0.006354074825797434,0.015246579077470611,-0.10939586228414992,-0.10721726117822267,-0.10667568085592825
8,2016-03-02,0.04018983605877783,0.04061946184389898,0.04396441818457673,-0.06920602622537209,-0.06659779933432369,-0.06271126267135152
9,2016-03-09,-0.003699193276760967,-0.0037840016202399297,-0.00524915081559791,-0.07290521950213305,-0.07038180095456362,-0.06796041348694942
10,2016-03-16,0.0079812555386501,0.01049219661262093,0.015676729499920772,-0.06492396396348295,-0.05988960434194269,-0.05228368398702865
11,2016-03-23,0.007444645655385399,0.007332386107138622,0.002604143882979803,-0.05747931830809755,-0.05255721823480407,-0.04967954010404885
12,2016-03-30,0.0220928933646116,0.02090347383204008,0.026440564630495902,-0.03538642494348595,-0.031653744402763986,-0.023238975473552945
13,2016-04-06,0.002226758389255381,-0.00010010826815177922,-0.014382210737336231,-0.03315966655423057,-0.031753852670915766,-0.037621186210889175
14,2016-04-13,0.012310390092969,0.01327622347709227,0.016604432298566674,-0.02084927646126157,-0.018477629193823494,-0.0210167539123225
15,2016-04-20,0.0096706161531252,0.010510668265203017,0.0047070472441216125,-0.01117866030813637,-0.007966960928620478,-0.01630970666820089
16,2016-04-27,0.003288471107771666,0.00265254847928692,0.006287151865272322,-0.007890189200364705,-0.0053144124493335575,-0.010022554802928569
17,2016-05-04,-0.03277733154974063,-0.030405491261160322,-0.026376350902785294,-0.04066752075010533,-0.03571990371049388,-0.036398905705713865
18,2016-05-11,0.0046987330035788664,0.005589414258820851,0.010092101282213217,-0.03596878774652647,-0.030130489451673032,-0.026306804423500647
19,2016-05-18,0.002646290460631134,0.00233783997536745,0.005637256932935232,-0.033322497285895335,-0.02779264947630558,-0.020669547490565415
20,2016-05-25,0.03301635992530667,0.0320109712232111,0.028017655772597024,-0.00030613736058866803,0.004218321746905521,0.007348108282031609
21,2016-06-01,0.017804687283636596,0.017079938334752638,0.014115403146824603,0.01749854992304793,0.02129826008165816,0.021463511428856212
22,2016-06-08,0.012771898537897399,0.012320145026888508,0.004442104585424185,0.03027044846094533,0.03361840510854667,0.025905616014280396
23,2016-06-15,-0.027606014604612546,-0.028629058597797595,-0.03208264204601069,0.0026644338563327832,0.004989346510749074,-0.006177026031730294
24,2016-06-22,0.0019020689525618161,0.003479040254251673,0.0096629416579226,0.004566502808894599,0.008468386765000746,0.0034859156261923055
25,2016-06-29,-0.019847430345581066,-0.02085209103441216,-0.024957870076068558,-0.015280927536686468,-0.012383704269411414,-0.021471954449876252
26,2016-07-06,0.015346540073373549,0.015151399670974454,0.011991640384020983,6.561253668708154e-05,0.0027676954015630403,-0.00948031406585527
27,2016-07-13,0.03728224922181654,0.03598237259659545,0.02938747863149313,0.037347861758503624,0.03875006799815849,0.01990716456563786
28,2016-07-20,0.014801937864744298,0.014229494910744224,0.007276392234329507,0.05214979962324792,0.05297956290890272,0.027183556799967368
29,2016-07-27,0.014092734572033765,0.012945967688608883,0.0033230039056135518,0.06624253419528169,0.0659255305975116,0.03050656070558092
30,2016-08-03,-0.005642047168360834,-0.004707460803682514,0.00034519332824308195,0.06060048702692085,0.06121806979382909,0.030851754033824
31,2016-08-10,6.755259445546556e-05,0.000471002113633857,0.006882182522064022,0.06066803962137631,0.06168907190746295,0.037733936555888026
32,2016-08-17,0.0007321340932912,0.00045072019399857084,-0.001295983268290008,0.06140017371466751,0.06213979210146152,0.03643795328759802
33,2016-08-24,0.00969848788193485,0.009202030834104811,0.007618595722613642,0.07109866159660236,0.07134182293556633,0.04405654901021166
34,2016-08-31,0.004742735550199,0.00568981946637687,0.015859421141084767,0.07584139714680135,0.0770316424019432,0.059915970151296426
35,2016-09-07,0.00920546318117395,0.00898573042853665,0.00826660675592505,0.0850468603279753,0.08601737283047985,0.06818257690722147
36,2016-09-14,-0.026346511274945382,-0.026233828282754532,-0.029148218320487168,0.05870034905302992,0.05978354454772532,0.039034358586734305
37,2016-09-21,0.02148710628617405,0.021258939588231558,0.0226548889418366,0.08018745533920396,0.08104248413595688,0.061689247528570905
38,2016-09-28,0.0008971905573348664,0.0006891824995153732,0.000910777017779058,0.08108464589653883,0.08173166663547225,0.06260002454634997
39,2016-10-05,0.0018113721275519667,0.0025212176089942414,0.012641855841595554,0.08289601802409079,0.08425288424446649,0.07524188038794552
40,2016-10-12,-0.019773260775113016,-0.01886159143602096,-0.03024473607357411,0.06312275724897777,0.06539129280844552,0.04499714431437141
