,Time,Equal Weights,Max PDI Weights,Max Sharpe Ratio Weights - PDI 2,Max Sharpe Ratio Weights,Equal Weights Cummulative,Max PDI Weights Cummulative,Max Sharpe Ratio Weights Cummulative,Max Sharpe Ratio Weights Cummulative - PDI 2
0,2016-01-06,-0.05498605413605437,-0.05498605413605437,-0.05498605413605437,-0.05498605413605437,-0.05498605413605437,-0.05498605413605437,-0.05498605413605437,-0.05498605413605437
1,2016-01-13,-0.005706949934048994,-0.005706949934048994,-0.005706949934048994,-0.005706949934048994,-0.06069300407010336,-0.06069300407010336,-0.06069300407010336,-0.06069300407010336
2,2016-01-20,-0.015777345641022882,-0.015777345641022882,-0.015777345641022882,-0.015777345641022882,-0.07647034971112625,-0.07647034971112625,-0.07647034971112625,-0.07647034971112625
3,2016-01-27,0.29644146171546704,0.29644146171546704,0.29644146171546704,0.29644146171546704,0.21997111200434077,0.21997111200434077,0.21997111200434077,0.21997111200434077
4,2016-02-03,-0.06391070414519331,-0.06391070414519331,-0.06391070414519331,-0.06391070414519331,0.15606040785914746,0.15606040785914746,0.15606040785914746,0.15606040785914746
5,2016-02-10,0.0017568657534944507,0.0017568657534944507,0.0017568657534944507,0.0017568657534944507,0.15781727361264192,0.15781727361264192,0.15781727361264192,0.15781727361264192
6,2016-02-17,0.027776084304151717,0.027776084304151717,0.027776084304151717,0.027776084304151717,0.18559335791679363,0.18559335791679363,0.18559335791679363,0.18559335791679363
7,2016-02-24,-0.0004011467483767332,-0.0004011467483767332,-0.0004011467483767332,-0.0004011467483767332,0.1851922111684169,0.1851922111684169,0.1851922111684169,0.1851922111684169
8,2016-03-02,0.007138757369138167,0.007138757369138167,0.007138757369138167,0.007138757369138167,0.19233096853755505,0.19233096853755505,0.19233096853755505,0.19233096853755505
9,2016-03-09,-0.008503172728945685,-0.008503172728945685,-0.008503172728945685,-0.008503172728945685,0.18382779580860936,0.18382779580860936,0.18382779580860936,0.18382779580860936
10,2016-03-16,0.01211087765588103,0.01211087765588103,0.01211087765588103,0.01211087765588103,0.1959386734644904,0.1959386734644904,0.1959386734644904,0.1959386734644904
11,2016-03-23,-0.005274393967577867,-0.005274393967577867,-0.005274393967577867,-0.005274393967577867,0.19066427949691253,0.19066427949691253,0.19066427949691253,0.19066427949691253
12,2016-03-30,0.027093134512871882,0.027093134512871882,0.027093134512871882,0.027093134512871882,0.2177574140097844,0.2177574140097844,0.2177574140097844,0.2177574140097844
13,2016-04-06,-0.015790483954093205,0.0016888076315981467,-0.002770786100558553,-0.034479295328139356,0.2019669300556912,0.21944622164138256,0.18327811868164506,0.21498662790922585
14,2016-04-13,0.028572337723958452,0.018783786470091535,0.017683080454857992,0.0352536428422959,0.23053926777964964,0.2382300081114741,0.21853176152394096,0.23266970836408385
15,2016-04-20,0.0027686151887919,0.0051096655758659515,0.00408092466898914,0.0055005263238784175,0.23330788296844154,0.24333967368734005,0.2240322878478194,0.23675063303307298
16,2016-04-27,0.0025409085466177326,0.0017645922374844472,0.004666158116342731,0.000713980655582607,0.23584879151505928,0.2451042659248245,0.224746268503402,0.24141679114941572
17,2016-05-04,-0.04203360722598492,-0.05359294356434237,-0.05129366542636131,-0.017733151630921182,0.19381518428907435,0.19151132236048213,0.20701311687248083,0.1901231257230544
18,2016-05-11,0.012804550189576184,0.002242407855029519,0.004302390616825221,0.021857318082611425,0.20661973447865054,0.19375373021551165,0.22887043495509227,0.19442551633987962
19,2016-05-18,-0.007361655318470217,-0.004855584820493019,-0.0021717386213094955,-0.0036490600496171654,0.19925807916018032,0.18889814539501862,0.2252213749054751,0.19225377771857013
