Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
GOVT,Government Bonds,Bond,,,North America,U.S.,
TLT,Government Bonds,Bond,,,North America,U.S.,
BIV,Total Bond Market,Bond,,,North America,U.S.,
VLUE,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,
MTUM,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
VMBS,Mortgage Backed Securities,Bond,,,North America,U.S.,
VHT,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
SLV,Precious Metals,Commodity,,,,,
GDX,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
SCZ,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,EAFE,
SCHG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
VOE,Mid Cap Value Equities,Equity,Mid-Cap,Blend,North America,U.S.,
IWS,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,
EWJ,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
BIL,Government Bonds,Bond,,,North America,U.S.,
EFV,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,EAFE,
VTIP,Inflation-Protected Bonds,Bond,,,North America,U.S.,
IUSB,Total Bond Market,Bond,,,North America,U.S.,
IWO,Small Cap Growth Equities,Equity,Small-Cap,Growth,North America,U.S.,
XLU,Utilities Equities,Equity,Large-Cap,Value,North America,U.S.,Utilities
IEI,Government Bonds,Bond,,,North America,U.S.,
IGIB,Corporate Bonds,Bond,,,Developed Markets,Broad,
TQQQ,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,
FVD,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
IWV,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
XLP,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Staples
SPDW,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
IUSG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
JNK,High Yield Bonds,Bond,,,North America,U.S.,
SPYV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
VOT,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
VGSH,Government Bonds,Bond,,,North America,U.S.,
IBB,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
MGK,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,
FDN,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
EFG,Foreign Large Cap Equities,Equity,Large-Cap,Growth,Developed Markets,EAFE,
SPYG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
ARKG,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
VFH,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
SPLG,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
EFAV,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
SCHV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
IUSV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
SCHM,Mid Cap Growth Equities,Equity,Mid-Cap,Blend,North America,U.S.,
SCHE,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
IJS,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,
VSS,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
SCHZ,Total Bond Market,Bond,,,North America,U.S.,
IHI,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
IJJ,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,
IJK,Small Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
SCHO,Government Bonds,Bond,,,North America,U.S.,
